Channel,Precision,Recall,F1,MCC,AUC_ROC,AUC_PR,Accuracy
A-1,0.0,0.0,0.0,0,1.0,1.0,0.941
A-2,0.0,0.0,0.0,0,0.948,0.5,0.935
A-3,0.0,0.0,0.0,0,0.968,0.5,0.938
A-4,0.0,0.0,0.0,0,0.452,0.056,0.969
A-5,0.0,0.0,0.0,0,0.647,0.143,0.944
A-6,0.0,0.0,0.0,0,1.0,1.0,0.941
A-7,1.0,0.9,0.947,0,0.058,0.184,0.971
A-8,0.536,1.0,0.698,0,0.489,0.456,0.606
A-9,0.484,1.0,0.652,0,0.648,0.514,0.515
B-1,0.0,0.0,0.0,0,0.645,0.083,0.406
C-1,0.2,0.5,0.286,0,0.5,0.611,0.444
C-2,0.0,0.0,0.0,0,0.583,0.643,0.75
D-1,0.0,0.0,0.0,0,0.927,0.953,0.618
D-11,0.0,0.0,0.0,0,1.0,1.0,0.897
D-13,0.0,0.0,0.0,0,0.69,0.1,0.467
D-14,0.0,0.0,0.0,0,1.0,1.0,0.9
D-15,0.0,0.0,0.0,0,0.583,0.417,0.75
D-16,0.0,0.0,0.0,0,0.4,0.383,0.5
D-2,0.0,0.0,0.0,0,0.979,0.985,0.471
D-3,0.0,0.0,0.0,0,0.868,0.872,0.412
D-4,0.0,0.0,0.0,0,0.9,0.894,0.576
D-5,0.0,0.0,0.0,0,0.414,0.056,0.967
D-6,0.032,1.0,0.062,0,0.7,0.1,0.032
D-7,0.0,0.0,0.0,0,0.928,0.915,0.467
D-8,0.034,1.0,0.067,0,0.933,0.333,0.097
D-9,0.0,0.0,0.0,0,1.0,1.0,0.069
E-1,0.083,0.25,0.125,0,0.733,0.638,0.588
E-10,0.083,0.333,0.133,0,0.688,0.698,0.618
E-11,0.1,0.333,0.154,0,0.688,0.698,0.676
E-12,0.182,0.5,0.267,0,0.467,0.146,0.676
E-13,0.231,0.75,0.353,0,0.358,0.11,0.676
E-2,0.167,0.333,0.222,0,0.655,0.52,0.588
E-3,0.406,1.0,0.578,0,0.762,0.796,0.424
E-4,1.0,0.333,0.5,0,0.29,0.285,0.758
E-5,0.0,0.0,0.0,0,0.71,0.139,0.576
E-6,0.0,0.0,0.0,0,1.0,1.0,0.545
E-7,0.0,0.0,0.0,0,1.0,1.0,0.939
E-8,0.043,0.333,0.077,0,0.806,0.714,0.294
E-9,0.062,1.0,0.118,0,0.839,0.341,0.091
F-1,0.0,0.0,0.0,0,0.97,0.5,0.971
F-2,0.304,0.583,0.4,0,0.451,0.407,0.382
F-3,0.0,0.0,0.0,0,0.781,0.125,0.97
F-4,0.0,0.0,0.0,0,0.833,0.333,0.923
F-5,0.0,0.0,0.0,0,0.857,0.333,0.8
F-7,0.0,0.0,0.0,0,0.984,0.95,0.7
F-8,0.0,0.0,0.0,0,0.929,0.833,0.222
G-1,0.0,0.0,0.0,0,0.969,0.5,0.242
G-2,0.0,0.0,0.0,0,0.893,0.25,0.966
G-3,0.0,0.0,0.0,0,0.433,0.056,0.968
G-4,0.033,1.0,0.065,0,1.0,1.0,0.033
G-6,0.0,0.0,0.0,0,1.0,1.0,0.265
G-7,0.0,0.0,0.0,0,0.977,0.867,0.5
M-1,0.0,0.0,0.0,0,0.4,0.619,0.444
M-2,0.0,0.0,0.0,0,0.95,0.967,0.444
M-3,0.0,0.0,0.0,0,0.714,0.333,0.875
M-4,0.0,0.0,0.0,0,1.0,1.0,0.875
M-5,0.0,0.0,0.0,0,0.5,0.375,0.778
M-6,0.0,0.0,0.0,0,1.0,1.0,0.875
M-7,0.0,0.0,0.0,0,0.833,0.75,0.75
P-1,0.667,0.333,0.444,0,0.119,0.117,0.853
P-10,0.0,0.0,0.0,0,0.783,0.167,0.958
P-11,0.2,0.5,0.286,0,0.458,0.191,0.643
P-14,0.0,0.0,0.0,0,0.783,0.167,0.958
P-15,0.0,0.0,0.0,0,,,0.818
P-2,0.1,0.167,0.125,0,0.846,0.867,0.562
P-3,0.0,0.0,0.0,0,0.981,0.944,0.818
P-4,0.042,0.2,0.069,0,0.946,0.778,0.129
P-7,0.0,0.0,0.0,0,0.573,0.488,0.75
R-1,1.0,1.0,1.0,0,0.926,0.333,1.0
S-1,0.0,0.0,0.0,0,0.444,0.12,0.897
S-2,0.0,0.0,0.0,0,,,1.0
T-1,0.241,0.875,0.378,0,0.596,0.389,0.324
T-12,0.0,0.0,0.0,0,0.625,0.25,0.778
T-13,0.5,1.0,0.667,0,0.5,0.511,0.556
T-2,0.176,0.429,0.25,0,0.481,0.355,0.471
T-3,1.0,0.667,0.8,0,0.667,0.311,0.971
T-4,0.0,0.0,0.0,0,0.0,0.125,0.875
T-5,0.0,0.0,0.0,0,1.0,1.0,0.875
T-8,0.0,0.0,0.0,0,0.5,0.417,0.667
