Channel,Accuracy,Precision,Recall,F1,MCC,AUC_ROC,AUC_PR
A-1,0.471,0.0,0.0,0.0,-0.236,0.969,0.75
A-2,0.806,0.0,0.0,0.0,-0.101,0.897,0.625
A-3,0.25,0.042,0.5,0.077,-0.149,0.533,0.533
A-4,0.969,0.0,0.0,0.0,0.0,0.484,0.059
A-5,0.944,0.0,0.0,0.0,0.0,1.0,1.0
A-6,0.0,0.0,0.0,0.0,-1.0,1.0,1.0
A-7,0.971,1.0,0.9,0.947,0.93,0.071,0.187
A-8,0.576,0.6,0.2,0.3,0.123,0.519,0.47
A-9,0.455,0.0,0.0,0.0,-0.289,0.822,0.684
B-1,0.438,0.0,0.0,0.0,-0.191,0.645,0.083
C-1,0.778,0.5,0.5,0.5,0.357,0.429,0.361
C-2,0.75,0.0,0.0,0.0,0.0,0.583,0.643
D-1,0.559,0.0,0.0,0.0,-0.197,0.938,0.956
D-11,0.448,0.0,0.0,0.0,-0.196,1.0,1.0
D-12,0.129,0.1,0.182,0.129,-0.718,0.873,0.828
D-13,0.467,0.0,0.0,0.0,-0.186,0.69,0.1
D-14,0.8,0.0,0.0,0.0,0.0,1.0,1.0
D-15,0.75,0.0,0.0,0.0,0.0,0.833,0.583
D-16,0.625,0.0,0.0,0.0,0.0,0.4,0.383
D-2,0.147,0.071,0.059,0.065,-0.717,0.976,0.983
D-3,0.471,0.167,0.071,0.1,-0.231,0.825,0.849
D-4,0.485,0.0,0.0,0.0,-0.299,0.912,0.891
D-5,0.967,0.0,0.0,0.0,0.0,0.276,0.045
D-6,0.419,0.053,1.0,0.1,0.145,1.0,1.0
D-7,0.167,0.208,0.455,0.286,-0.657,0.861,0.853
D-8,0.065,0.0,0.0,0.0,-0.558,0.933,0.333
D-9,0.069,0.0,0.0,0.0,-0.783,1.0,1.0
E-1,0.824,0.0,0.0,0.0,-0.091,0.767,0.643
E-10,0.853,0.0,0.0,0.0,-0.078,0.753,0.705
E-11,0.853,0.0,0.0,0.0,-0.078,0.72,0.701
E-12,0.765,0.0,0.0,0.0,-0.133,0.517,0.229
E-13,0.559,0.077,0.25,0.118,-0.099,0.542,0.177
E-2,0.824,0.0,0.0,0.0,0.0,0.75,0.595
E-3,0.485,0.3,0.231,0.261,-0.127,0.742,0.766
E-4,0.636,0.0,0.0,0.0,0.0,0.274,0.277
E-5,0.879,0.0,0.0,0.0,-0.065,0.726,0.167
E-6,0.939,0.0,0.0,0.0,-0.031,1.0,1.0
E-7,0.939,0.0,0.0,0.0,0.0,1.0,1.0
E-8,0.824,0.0,0.0,0.0,-0.091,0.725,0.589
E-9,0.939,0.0,0.0,0.0,0.0,0.871,0.361
F-1,0.941,0.0,0.0,0.0,-0.03,0.758,0.111
F-2,0.471,0.35,0.583,0.438,-0.007,0.439,0.388
F-3,0.212,0.037,1.0,0.071,0.083,0.781,0.125
F-4,0.462,0.0,0.0,0.0,-0.337,1.0,1.0
F-5,0.6,0.0,0.0,0.0,-0.189,0.857,0.333
F-7,0.5,0.0,0.0,0.0,-0.327,0.969,0.888
F-8,0.333,0.0,0.0,0.0,-0.478,1.0,1.0
G-1,0.061,0.0,0.0,0.0,-0.559,1.0,1.0
G-2,0.034,0.034,1.0,0.067,0.0,0.75,0.125
G-3,0.645,0.0,0.0,0.0,-0.126,0.467,0.059
G-4,0.0,0.0,0.0,0.0,-1.0,1.0,1.0
G-6,0.206,0.0,0.0,0.0,-0.314,1.0,1.0
G-7,0.594,0.0,0.0,0.0,-0.217,0.977,0.867
M-1,0.667,0.75,0.6,0.667,0.35,0.4,0.619
M-2,0.444,0.0,0.0,0.0,0.0,0.95,0.967
M-3,0.75,0.0,0.0,0.0,-0.143,1.0,1.0
M-4,0.875,0.0,0.0,0.0,0.0,1.0,1.0
M-5,0.778,0.0,0.0,0.0,0.0,0.5,0.375
M-6,0.875,0.0,0.0,0.0,0.0,1.0,1.0
M-7,0.75,0.0,0.0,0.0,0.0,0.917,0.833
P-1,0.824,0.0,0.0,0.0,0.0,0.173,0.123
P-10,0.958,0.0,0.0,0.0,0.0,0.783,0.167
P-11,0.643,0.25,0.333,0.286,0.055,0.606,0.369
P-14,0.792,0.0,0.0,0.0,-0.114,0.818,0.267
P-15,0.727,0.0,0.0,0.0,-0.149,0.5,0.167
P-2,0.812,0.0,0.0,0.0,0.0,0.853,0.868
P-3,0.818,0.0,0.0,0.0,0.0,0.981,0.931
P-4,0.871,1.0,0.2,0.333,0.416,0.754,0.647
P-7,0.75,0.0,0.0,0.0,0.0,0.714,0.646
R-1,0.964,0.0,0.0,0.0,0.0,0.926,0.333
S-1,0.276,0.087,1.0,0.16,0.139,0.241,0.067
S-2,0.857,0.0,0.0,0.0,0.0,0.833,0.5
T-1,0.647,0.375,0.75,0.5,0.311,0.322,0.292
T-12,0.444,0.0,0.0,0.0,-0.316,0.625,0.25
T-13,0.444,0.444,1.0,0.615,0.0,0.5,0.635
T-2,0.5,0.143,0.286,0.19,-0.13,0.608,0.383
T-3,0.971,1.0,0.667,0.8,0.804,0.656,0.31
T-4,0.875,0.0,0.0,0.0,0.0,0.143,0.143
T-5,0.875,0.0,0.0,0.0,0.0,1.0,1.0
T-8,0.667,0.0,0.0,0.0,0.0,0.75,0.583
T-9,0.75,0.0,0.0,0.0,0.0,1.0,1.0
